1a,False,Susanin
1namedata,False,Rodrigo_Duterte
1p,False,294
1pp,False,381
1y,False,2011
2a,False,Barrier
2data,False,Brit_Awards
2p,False,629
2pp,False,606
2y,False,2015
5optionName,False,Roc_Nation_albums_discography
a,False,r
abbreviation,True,And
academicDiscipline,True,Donald_Ivey
accessDate,False,2022-05-23
active,False,1976
activeYearsEndYear,True,2022
activeYearsStartYear,True,1996
actor,True,General_Joseph_Colton
acts,True,Miss_USA_2016
adaptedBy,True,Henry_Wu_(character)
address,True,Bitchū-Takahashi_Station
administrator,True,2015_Heroes_of_the_Storm_World_Championship
advertising,True,DisneyNow
affiliation,True,Apple_University
affiliations,True,Apple_University
after,True,Kristen Lopez and Robert Lopez
afterElection,True,Billboard_Music_Awards
agency,True,Lake_James
agent,True,Simon Fuller
aircraftType,True,Aer_Lingus_Flight_164
album,True,Once_Upon_a_Dream_(Sleeping_Beauty_song)__Once_Upon_a_Dream__1
alias,True,Angelina Jolie Pitt
align,False,right
allLyrics,False,Emotions_(Mariah_Carey_album)
allMusic,False,The_Diving_Board
allWriting,True,Working_on_a_Dream
almaMater,False,BRIT_School
alt,False,An thin iMac in blue color on a desk.
ambassadors,True,Clear_(shampoo)
anthem,True,Super_Bowl_XXXV
archiveDate,True,2022-10-09
archiveUrl,False,1578957396604424193
areaServed,True,Worldwide
arearank,True,19
areasServed,True,US_Virgin_Islands
areatotal,True,722
artist,False,The_Best_of_Disney_Volume_2
asiawins,True,2
assetUnderManagement,False,3.11E12
assets,True,3.5276E11
assetsYear,False,2022
assist,True,2001_NBA_Finals
assistsLeader,True,2012_United_States_men's_Olympic_basketball_team
associatedActs,False,DJ_Whoo_Kid
associatedBand,False,Lisa_Simone
associatedMusicalArtist,False,Lisa_Simone
atmosphereComposition,True,Moon
audioReadBy,True,The_Dutch_House_(novel)
aum,False,3.11E12
australianopendoublesresult,True,3.0
australianopenresult,True,W
auswins,True,3
author,False,OpenCL
authors,True,Zoo_(Patterson_novel)
auto,False,1
automobilePlatform,True,Mercedes-Benz_C112
aux,False,List_of_The_Try_Guys_episodes
average,True,5.4
award,False,Ronke_Olabisi
award1Winner,False,33rd_International_Emmy_Awards
award1pub,False,Alba:_A_Wildlife_Adventure
awards,False,List_of_awards_and_nominations_received_by_50_Cent
awardssection,False,List of career achievements by Tiger Woods#Awards
awaycaptain,False,2019_Presidents_Cup
b,False,no
bSearch,False,Wikijunior:The Elements/Hydrogen
background,True,group_or_band
bandMember,True,Phil_X
basedOn,True,Once_Upon_a_One_More_Time
bats,False,Right
battleHonours,True,24th_Mechanized_Brigade_(Ukraine)
bbr,False,bryanko01
before,True,Zac_Brown_Band
beforeElection,True,Billboard_Music_Awards
bestActor,True,Washington_D.C._Area_Film_Critics_Association_Awards_2011
bestActorFilm,True,55th_Golden_Horse_Awards
bestActress,True,Washington_D.C._Area_Film_Critics_Association_Awards_2018
bg,False,white
bgcolor,False,#E0E6F8
birthDate,True,1975-07-06
birthName,True,Curtis James Jackson III
birthPlace,True,New York City U.S.
birthYear,True,1975
birthname,True,Benjamin Géza Affleck-Boldt
blankData,False,City_of_Lover
blankInfoSec,False,Department_of_Tacna
block,True,Mercedes-Benz_OM642_engine
blockAlloy,True,Judd_(engine)__Judd_KV__1
bloomberg,False,AAPL:US
board,False,Bruce_Sewell
boardOfDirectors,True,Telecom_Infra_Project
boards,False,Katherine_L._Adams
bodyStyle,True,Formula_Palmer_Audi
book,True,Period 1 elements
border,False,1
bordercolor,False,#0B0B3F
bordering,True,Lacerta
bot,False,InternetArchiveBot
bowlgames,True,* Cotton Bowl Classic 
bracesPlayer,True,UEFA_Euro_2020_statistics
branch,False,25
brand,True,IPhone_XS
branding,True,Apple_Wireless_Keyboard
brands,True,Visual Studio
brighteststarname,True,Alpha_Andromedae
btype,False,.45-60_Winchester
budget,True,2.1E8
builder,True,Sea_Slice
builders,True,Dry_Combat_Submersible
