2,0,0,0,"g unit films and television inc. | sms audio","","",""
2,0,0,0,"50 cent: the money and the power | 50 central","","",""
10,1,0,1,"film producer | television actor | singer | songwriter | music executive | businessman | entrepreneur | investor | film actor | record executive","50 cent  personfunction  1","",television director
3,1,0,0,new york city | south jamaica | u.s.,"new york city, u.s.","",""
2,1,0,3,"power universe | 50 cent: the money and the power","tommy egan","","kanan stark | effie morales | angela valdes"
1,0,0,0,"sire jackson","","",""
1,0,0,0,"1996","","",""
1,0,0,0,"1975 07 06","","",""
1,0,1,0,"before i self destruct","","before i self destruct (film)",""
0,0,0,0,"","","",""
3,1,0,1,"curtis | 50 cent | jackson","50","","james"
