3,2,0,0,oklahoma | shawnee | united states,"shawnee, oklahoma, u.s. | shawnee, oklahoma","",""
0,0,0,0,"","","",""
3,2,1,0,"william | bradley | pitt","brad pitt | list of awards and nominations received by brad pitt","brad",""
5,1,0,4,"producer | executive producer | voice actor | model | film actor","brad pitt  personfunction  1","","television actor | television producer | film director | director"
1,0,0,0,not on our watch,"","",""
0,0,0,3,"","","","maddox jolie pitt | pax jolie pitt | zahara jolie pitt"
3,0,0,2,"vivienne jolie pitt | knox jolie pitt | shiloh jolie","","","william alvin pitt | jane etta hillhouse"
1,1,0,0,"1987","1987 01 01t00:00:00z","",""
2,0,0,0,"1963 | 1963 12 18","","",""
0,0,0,0,"","","",""
0,0,0,0,"","","",""
