1,1,0,0,"benjamin géza affleck boldt","benjamin geza affleck","",""
1,0,1,0,"casey affleck","","summer phoenix",""
3,3,0,2,"argo | live by night | the town","live by night (film) | the town (2010 film) | argo (2012 film)","","air | animals"
3,0,0,1,"affleck | geza | ben","","","ben affleck"
3,0,0,0,"eastern congo initiative | artists equity | liveplanet","","",""
6,2,0,2,"television actor | executive producer | voice actor | television producer | film actor | writer","ben affleck  personfunction  1 | bennifer","","poker player | manufacturer"
0,1,3,0,"","2018","2022 | 2005 | bennifer",""
3,2,0,0,california | united states | berkley,"berkeley, california | berkeley, california, u.s.","",""
1,1,0,0,"1981","1981 01 01t00:00:00z","",""
0,0,0,0,"","","",""
0,0,0,0,"","","",""
1,0,0,0,"1972 08 15","","",""
3,2,0,0,violet affleck | seraphina affleck | samuel affleck,"timothy byers affleck | christine anne boldt","",""
